cod_prod;nome_abrev;nome_completo;descricao;categoria;sub_categoria;marca;conteudo_valor;conteudo_medida
814334092590;Beautifying Body Milk;J'adore Beautifying Body Milk;Perfume Dior J'adore Beautifying Body Milk  para Corpo;Corpo;Perfume;Dior;201.0;ml
409313571908;JOY Dior Moisturizing Body;JOY By Dior Moisturizing Body Lotion;Perfume Dior JOY By Dior Moisturizing Body Lotion  para Corpo;Corpo;Perfume;Dior;204.0;ml
457980007466;Sauvage Shave Balm;Sauvage After Shave Balm;Perfume Dior Sauvage After Shave Balm  para Corpo;Corpo;Perfume;Dior;102.0;ml
392825937693;Homme Shaving Cream;Homme Shaving Cream;Perfume Dior Homme Shaving Cream  para Corpo;Corpo;Perfume;Dior;126.0;ml
458798604908;Hypnotic Poison Eau de;Hypnotic Poison Eau de Toilette;Perfume Dior Hypnotic Poison Eau de Toilette  para Corpo;Corpo;Perfume;Dior;30.0;ml
858765026007;Les Adoreables Golden Gel;J'adore Les Adoreables Golden Gel;Perfume Dior J'adore Les Adoreables Golden Gel  para Corpo;Corpo;Perfume;Dior;102.0;ml
167520650822;Fahrenheit Eau De Toilette;Fahrenheit Eau De Toilette;Perfume Dior Fahrenheit Eau De Toilette  para Corpo;Corpo;Perfume;Dior;50.0;ml
246043739860;Sauvage Eau De Toilette;Sauvage Eau De Toilette;Perfume Dior Sauvage Eau De Toilette  para Corpo;Corpo;Perfume;Dior;60.0;ml
785392870379;Homme Eau De Toilette;Homme Eau De Toilette;Perfume Dior Homme Eau De Toilette  para Corpo;Corpo;Perfume;Dior;100.0;ml
383163922083;Homme Eau De Cologne;Homme Eau De Cologne;Perfume Dior Homme Eau De Cologne  para Corpo;Corpo;Perfume;Dior;75.0;ml
280836331060;Hypnotic Poison Eau De;Hypnotic Poison Eau De Toilette;Perfume Dior Hypnotic Poison Eau De Toilette  para Corpo;Corpo;Perfume;Dior;30.0;ml
192268161675;Poison Girl Eau De;Poison Girl Eau De Toilette;Perfume Dior Poison Girl Eau De Toilette  para Corpo;Corpo;Perfume;Dior;50.0;ml
69804224920;Addict Eau De Toilette;Addict Eau De Toilette;Perfume Dior Addict Eau De Toilette  para Corpo;Corpo;Perfume;Dior;50.0;ml
248020916271;Eau De Toilette;J'Adore Eau De Toilette;Perfume Dior J'Adore Eau De Toilette  para Corpo;Corpo;Perfume;Dior;50.0;ml
807529016594;Eau Sauvage Parfum;Eau Sauvage Parfum;Perfume Dior Eau Sauvage Parfum  para Corpo;Corpo;Perfume;Dior;100.0;ml
432993811552;Miss Dior Absolutely Blooming;Miss Dior Absolutely Blooming Eau de Parfum;Perfume Dior Miss Dior Absolutely Blooming Eau de Parfum  para Corpo;Corpo;Perfume;Dior;30.0;ml
267153538600;Parfum Eau de Parfum;J'adore Parfum D'eau Eau de Parfum;Perfume Dior J'adore Parfum D'eau Eau de Parfum  para Corpo;Corpo;Perfume;Dior;30.0;ml
228251936347;Les Adorables Shimmering Scrub;J'adore Les Adorables Shimmering Scrub;Perfume Dior J'adore Les Adorables Shimmering Scrub  para Corpo;Corpo;Perfume;Dior;150.0;ml
426586917448;Les Adoreables Body Cream;J'adore Les Adoreables Body Cream;Perfume Dior J'adore Les Adoreables Body Cream  para Corpo;Corpo;Perfume;Dior;150.0;ml
117186355210;Sauvage Parfum;Sauvage Parfum;Perfume Dior Sauvage Parfum  para Corpo;Corpo;Perfume;Dior;100.0;ml
843507834729;Sauvage Eau De Toilette;Sauvage Eau De Toilette;Perfume Dior Sauvage Eau De Toilette  para Corpo;Corpo;Perfume;Dior;100.0;ml
798625838862;Eau Sauvage Eau De;Eau Sauvage Eau De Toilette;Perfume Dior Eau Sauvage Eau De Toilette  para Corpo;Corpo;Perfume;Dior;100.0;ml
912806722690;Poison Girl Eau De;Poison Girl Eau De Parfum;Perfume Dior Poison Girl Eau De Parfum  para Corpo;Corpo;Perfume;Dior;50.0;ml
963986891317;Miss Dior Eau De;Miss Dior Eau De Parfum;Perfume Dior Miss Dior Eau De Parfum  para Corpo;Corpo;Perfume;Dior;50.0;ml
728519277293;Addict Eau De Parfum;Addict Eau De Parfum;Perfume Dior Addict Eau De Parfum  para Corpo;Corpo;Perfume;Dior;50.0;ml
630692039998;Joy Dior Eau De;Joy By Dior Eau De Parfum;Perfume Dior Joy By Dior Eau De Parfum  para Corpo;Corpo;Perfume;Dior;50.0;ml
178978530116;Eau De Parfum;J'Adore Eau De Parfum;Perfume Dior J'Adore Eau De Parfum  para Corpo;Corpo;Perfume;Dior;50.0;ml
234855095649;Fahrenheit Eau de Toilette;Fahrenheit Eau de Toilette;Perfume Dior Fahrenheit Eau de Toilette  para Corpo;Corpo;Perfume;Dior;102.0;ml
35172257501;Sauvage Eau de Toilette;Sauvage Eau de Toilette;Perfume Dior Sauvage Eau de Toilette  para Corpo;Corpo;Perfume;Dior;102.0;ml
59697315560;Fahrenheit Eau De Toilette;Fahrenheit Eau De Toilette;Perfume Dior Fahrenheit Eau De Toilette  para Corpo;Corpo;Perfume;Dior;100.0;ml
436285413493;Eau;J'adore Eau Lumiï¿½ï¿½ï¿½ï¿½ï¿½ï¿½re;Perfume Dior J'adore Eau Lumiï¿½ï¿½ï¿½ï¿½ï¿½ï¿½re  para Corpo;Corpo;Perfume;Dior;51.0;ml
779992520024;Miss Dior Rose Eau;Miss Dior Rose N'Roses Eau de Toilette;Perfume Dior Miss Dior Rose N'Roses Eau de Toilette  para Corpo;Corpo;Perfume;Dior;102.0;ml
652858859486;Miss Dior Eau de;Miss Dior Eau de Toilette;Perfume Dior Miss Dior Eau de Toilette  para Corpo;Corpo;Perfume;Dior;102.0;ml
609848388761;Homme Cologne Eau de;Homme Cologne Eau de Toilette;Perfume Dior Homme Cologne Eau de Toilette  para Corpo;Corpo;Perfume;Dior;126.0;ml
263479264681;Homme Sport Eau de;Homme Sport Eau de Toilette;Perfume Dior Homme Sport Eau de Toilette  para Corpo;Corpo;Perfume;Dior;126.0;ml
392844745705;Sauvage Eau De Parfum;Sauvage Eau De Parfum;Perfume Dior Sauvage Eau De Parfum  para Corpo;Corpo;Perfume;Dior;60.0;ml
304016376563;Homme Eau De Cologne;Homme Eau De Cologne;Perfume Dior Homme Eau De Cologne  para Corpo;Corpo;Perfume;Dior;125.0;ml
326926569668;Miss Dior Blooming Bouquet;Miss Dior Blooming Bouquet Eau de Toilette;Perfume Dior Miss Dior Blooming Bouquet Eau de Toilette  para Corpo;Corpo;Perfume;Dior;102.0;ml
770909530099;Sauvage Eau de Parfum;Sauvage Eau de Parfum;Perfume Dior Sauvage Eau de Parfum  para Corpo;Corpo;Perfume;Dior;102.0;ml
479135375084;Sauvage Elixir Eau De;Sauvage Elixir Eau De Cologne;Perfume Dior Sauvage Elixir Eau De Cologne  para Corpo;Corpo;Perfume;Dior;60.0;ml
284615400909;Eau de Parfum;J'adore Eau de Parfum;Perfume Dior J'adore Eau de Parfum  para Corpo;Corpo;Perfume;Dior;102.0;ml
682030583618;Miss Dior Eau de;Miss Dior Eau de Parfum;Perfume Dior Miss Dior Eau de Parfum  para Corpo;Corpo;Perfume;Dior;102.0;ml
404371022744;Sauvage Eau De Toilette;Sauvage Eau De Toilette;Perfume Dior Sauvage Eau De Toilette  para Corpo;Corpo;Perfume;Dior;200.0;ml
259574478191;Eau de Parfum Infinissime;J'adore Eau de Parfum Infinissime;Perfume Dior J'adore Eau de Parfum Infinissime  para Corpo;Corpo;Perfume;Dior;102.0;ml
412249921228;Fahrenheit Eau De Toilette;Fahrenheit Eau De Toilette;Perfume Dior Fahrenheit Eau De Toilette  para Corpo;Corpo;Perfume;Dior;200.0;ml
822647684203;Sauvage Parfum;Sauvage Parfum;Perfume Dior Sauvage Parfum  para Corpo;Corpo;Perfume;Dior;102.0;ml
242378108838;Dior Miss Eau De;Dior Miss Eau De Parfum Spray (New Scent) 100 ;Perfume Dior Dior Miss Eau De Parfum Spray (New Scent) 100   para Corpo;Corpo;Perfume;Dior;100.0;ml
988516306543;Sauvage Elixir;Sauvage Elixir;Perfume Dior Sauvage Elixir  para Corpo;Corpo;Perfume;Dior;102.0;ml
635498338153;Powder Kiss Velvet Blur;Powder Kiss Velvet Blur Slim Stick - Sheer Outrage;Perfume MAC Cosmetics Powder Kiss Velvet Blur Slim Stick - Sheer Outrage  para Corpo;Corpo;Perfume;MAC Cosmetics;2.0;ml
834550128200;Powder Kiss Velvet Blur;Powder Kiss Velvet Blur Slim Stick - Stay Curious;Perfume MAC Cosmetics Powder Kiss Velvet Blur Slim Stick - Stay Curious  para Corpo;Corpo;Perfume;MAC Cosmetics;2.0;ml
254151852548;Powder Kiss Velvet Blur;Powder Kiss Velvet Blur Slim Stick - Mull It Over;Perfume MAC Cosmetics Powder Kiss Velvet Blur Slim Stick - Mull It Over  para Corpo;Corpo;Perfume;MAC Cosmetics;2.0;ml
397328082444;Powder Kiss Velvet Blur;Powder Kiss Velvet Blur Slim Stick - Ruby New;Perfume MAC Cosmetics Powder Kiss Velvet Blur Slim Stick - Ruby New  para Corpo;Corpo;Perfume;MAC Cosmetics;2.0;ml
410340169266;Powder Kiss Velvet Blur;Powder Kiss Velvet Blur Slim Stick - Sweet Cinnamon;Perfume MAC Cosmetics Powder Kiss Velvet Blur Slim Stick - Sweet Cinnamon  para Corpo;Corpo;Perfume;MAC Cosmetics;2.0;ml
393770943487;Nivea Deep Impact Freshess;Nivea Deep Impact Freshess, Deodorant Roll On For Men, 50;Perfume Nivea Nivea Deep Impact Freshess, Deodorant Roll On For Men, 50  para Corpo;Corpo;Perfume;Nivea;50.0;ml
279257544142;Naturals Body Care Exfoliating;Naturals Body Care Exfoliating Bar Soap;Sabonete AVON Naturals Body Care Exfoliating Bar Soap  para Corpo;Corpo;Sabonete;AVON;300.0;ml
705779663936;Naturals Milk Honey Soap;Naturals Milk & Honey Soap pack of 5;Sabonete AVON Naturals Milk & Honey Soap pack of 5  para Corpo;Corpo;Sabonete;AVON;500.0;ml
633993198487;Shadow Primer Eyes;All About Shadow Primer For Eyes;Primer para olhos Clinique All About Shadow Primer For Eyes  para Olhos;Olhos;Primer para olhos;Clinique;0.54;ml
253007396922;Clinique Lash Doubling Mascara;Clinique Lash Doubling Mascara 01 Black 0.14oz/3.4*3;Máscara Clinique Clinique Lash Doubling Mascara 01 Black 0.14oz/3.4*3  para Olhos;Olhos;Máscara;Clinique;3.4;ml
571709486537;Clinique Chubby Lash Fattening;Clinique Chubby Lash Fattening Mascara - Jumbo Jet (Black);Máscara Clinique Clinique Chubby Lash Fattening Mascara - Jumbo Jet (Black)  para Olhos;Olhos;Máscara;Clinique;1.0;ml
997027860925;Power Mascara Dark Chocolate;Clinique/Lash Power Mascara 04 Dark Chocolate .21 Oz;Máscara Clinique Clinique/Lash Power Mascara 04 Dark Chocolate .21 Oz  para Olhos;Olhos;Máscara;Clinique;950.0;ml
393765668043;Diorshow Pump Volume Waterproof;Diorshow Pump 'N' Volume Waterproof Volumizing Mascara - 090 Black Pump;Máscara Dior Diorshow Pump 'N' Volume Waterproof Volumizing Mascara - 090 Black Pump  para Olhos;Olhos;Máscara;Dior;5.2;ml
715775125765;Diorshow Iconic Overcurl Mascara;Diorshow Iconic Overcurl Mascara;Máscara Dior Diorshow Iconic Overcurl Mascara  para Olhos;Olhos;Máscara;Dior;6.0;ml
8311607185;Diorshow Iconic Overcurl Mascara;Diorshow Iconic Overcurl Mascara - 090 Black;Máscara Dior Diorshow Iconic Overcurl Mascara - 090 Black  para Olhos;Olhos;Máscara;Dior;6.0;ml
694759368582;Diorshow Iconic Overcurl Mascara;Diorshow Iconic Overcurl Mascara - 091 Noir;Máscara Dior Diorshow Iconic Overcurl Mascara - 091 Noir  para Olhos;Olhos;Máscara;Dior;6.0;ml
952663053384;Diorshow Iconic Overcurl Mascara;Diorshow Iconic Overcurl Mascara - 694 Brown;Máscara Dior Diorshow Iconic Overcurl Mascara - 694 Brown  para Olhos;Olhos;Máscara;Dior;6.0;ml
714736797348;Diorshow Iconic Overcurl Waterproof;Diorshow Iconic Overcurl Waterproof Mascara - 091 Noir Black;Máscara Dior Diorshow Iconic Overcurl Waterproof Mascara - 091 Noir Black  para Olhos;Olhos;Máscara;Dior;10.0;ml
592066941255;Paris Infallible HR Eye;L'Oreal Paris Infallible 24 HR Eye Shadow Bronzed Taupe 0.12 Ounces;Sombra L'Oreal Paris L'Oreal Paris Infallible 24 HR Eye Shadow Bronzed Taupe 0.12 Ounces  para Olhos;Olhos;Sombra;L'Oreal Paris;0.05;lbs
803646708664;Paris Infallible HR Eye;L'Oreal Paris Infallible 24 HR Eye Shadow, Bottoess Java, 0.12 Ounces by L'Oreal Paris;Sombra L'Oreal Paris L'Oreal Paris Infallible 24 HR Eye Shadow, Bottoess Java, 0.12 Ounces by L'Oreal Paris  para Olhos;Olhos;Sombra;L'Oreal Paris;0.12;oz
230937063407;Paris Infallible HR Eye;L'Oreal Paris Infallible 24 HR Eye Shadow Perpetual Purple 0.12 Ounces;Sombra L'Oreal Paris L'Oreal Paris Infallible 24 HR Eye Shadow Perpetual Purple 0.12 Ounces  para Olhos;Olhos;Sombra;L'Oreal Paris;0.12;oz
53722138605;Paris Infallible HR Eye;L'Oreal Paris Infallible 24 HR Eye Shadow, Golden Emerald, 0.12 Ounces by L'Oreal Paris;Sombra L'Oreal Paris L'Oreal Paris Infallible 24 HR Eye Shadow, Golden Emerald, 0.12 Ounces by L'Oreal Paris  para Olhos;Olhos;Sombra;L'Oreal Paris;0.12;oz
458756136526;Mini Mac Extreme Dimension;Mini Mac In Extreme Dimension Lash Mascara;Máscara MAC Cosmetics Mini Mac In Extreme Dimension Lash Mascara  para Olhos;Olhos;Máscara;MAC Cosmetics;4.0;ml
774110995142;Extreme Dimension Mascara Black;In Extreme Dimension Mascara - 3D Black Lash;Máscara MAC Cosmetics In Extreme Dimension Mascara - 3D Black Lash  para Olhos;Olhos;Máscara;MAC Cosmetics;12.0;ml
220155979666;Magic Extension Fibre Mascara;Magic Extension 5MM Fibre Mascara - Extensive Black;Máscara MAC Cosmetics Magic Extension 5MM Fibre Mascara - Extensive Black  para Olhos;Olhos;Máscara;MAC Cosmetics;11.0;ml
637309834120;NYX Professional Makeup Single;NYX Professional Makeup Single Eyeshadow, Lime Green,2.4 g;Sombra NYX NYX Professional Makeup Single Eyeshadow, Lime Green,2.4 g  para Olhos;Olhos;Sombra;NYX;27.22;ml
314378298229;NYX Professional Makeup Single;NYX Professional Makeup Single Eyeshadow, Dust Sparkle, 2.4 g;Sombra NYX NYX Professional Makeup Single Eyeshadow, Dust Sparkle, 2.4 g  para Olhos;Olhos;Sombra;NYX;2.0;ml
73033009593;NYX Cosmetics Eye Shadow;NYX Cosmetics Eye Shadow Base High Definition 0.28 Ounce;Sombra NYX NYX Cosmetics Eye Shadow Base High Definition 0.28 Ounce  para Olhos;Olhos;Sombra;NYX;0.02;ml
622556985275;Liquid Eyeliner;Liquid Eyeliner;Delineador Revlon Liquid Eyeliner  para Olhos;Olhos;Delineador;Revlon;2.4;ml
368692000228;ColorStay;ColorStay Crï¿½ï¿½ï¿½ï¿½ï¿;Sombra Revlon ColorStay Crï¿½ï¿½ï¿½ï¿½ï¿  para Olhos;Olhos;Sombra;Revlon;12.0;ml
761888570923;Browsing Styling Mousse Brow;Just Browsing Brush-On Styling Mousse Brow Tint;Sobrancelha Clinique Just Browsing Brush-On Styling Mousse Brow Tint  para Olhos;Olhos;Sobrancelha;Clinique;21.0;ml
839689622605;Clinique High Impact Extreme;Clinique High Impact Extreme Volume Mascara, No. 01 Black, 0.4 Ounce;Máscara Clinique Clinique High Impact Extreme Volume Mascara, No. 01 Black, 0.4 Ounce  para Olhos;Olhos;Máscara;Clinique;10.0;ml
329925669919;Diorshow Set Brow Gel;Diorshow On Set Brow Gel - 00 Universal;Sobrancelha Dior Diorshow On Set Brow Gel - 00 Universal  para Olhos;Olhos;Sobrancelha;Dior;3.2;ml
959800820700;Diorshow Set Brow Gel;Diorshow On Set Brow Gel - 01 Blond;Sobrancelha Dior Diorshow On Set Brow Gel - 01 Blond  para Olhos;Olhos;Sobrancelha;Dior;3.2;ml
910315738492;Diorshow Set Brow Gel;Diorshow On Set Brow Gel - 03 Brown;Sobrancelha Dior Diorshow On Set Brow Gel - 03 Brown  para Olhos;Olhos;Sobrancelha;Dior;3.2;ml
80587985181;Diorshow Set Brow Gel;Diorshow On Set Brow Gel - 032 Dark Brown;Sobrancelha Dior Diorshow On Set Brow Gel - 032 Dark Brown  para Olhos;Olhos;Sobrancelha;Dior;3.2;ml
816100967989;Quartz Fume Paris Cosmetics;Quartz Fume : L'Oreal Paris Cosmetics Colour Riche Monos Eyeshadow, Quartz Fume, 0.12 Ounce;Sombra L'Oreal Paris Quartz Fume : L'Oreal Paris Cosmetics Colour Riche Monos Eyeshadow, Quartz Fume, 0.12 Ounce  para Olhos;Olhos;Sombra;L'Oreal Paris;0.04;lbs
412587436156;Paris Beach Paris Cosmetics;Paris Beach : L'Oreal Paris Cosmetics Colour Riche Monos Eyeshadow, Paris Beach, 0.12 Ounce;Sombra L'Oreal Paris Paris Beach : L'Oreal Paris Cosmetics Colour Riche Monos Eyeshadow, Paris Beach, 0.12 Ounce  para Olhos;Olhos;Sombra;L'Oreal Paris;0.04;lbs
730377810949;Violet Beaute Paris Cosmetics;Violet Beaute : L'Oreal Paris Cosmetics Colour Riche Monos Eyeshadow, Violet Beaute, 0.12 Ounce;Sombra L'Oreal Paris Violet Beaute : L'Oreal Paris Cosmetics Colour Riche Monos Eyeshadow, Violet Beaute, 0.12 Ounce  para Olhos;Olhos;Sombra;L'Oreal Paris;0.04;lbs
553895220324;NYX Glitter Cream Palette;NYX Glitter Cream Palette 01 Paradise;Sombra NYX NYX Glitter Cream Palette 01 Paradise  para Olhos;Olhos;Sombra;NYX;0.2957353;ml
564207545653;ColorStay Eyeliner;ColorStay Eyeliner;Delineador Revlon ColorStay Eyeliner  para Olhos;Olhos;Delineador;Revlon;12.0;ml
910769408149;High Impact Lash Amplifying;High Impact Lash Amplifying Serum;Cílios Clinique High Impact Lash Amplifying Serum  para Olhos;Olhos;Cílios;Clinique;3.0;ml
648743525109;Clinique Lash Power Mascara;Clinique Lash Power Mascara Long-Wearing Formula Black Onyx for Women, 0.21 Ounce;Máscara Clinique Clinique Lash Power Mascara Long-Wearing Formula Black Onyx for Women, 0.21 Ounce  para Olhos;Olhos;Máscara;Clinique;6.0;ml
857199140808;Clinique Chubby Lash Fattening;Clinique Chubby Lash Fattening Mascara, No. 01 Jumbo Jet, 0.3 Ounce;Máscara Clinique Clinique Chubby Lash Fattening Mascara, No. 01 Jumbo Jet, 0.3 Ounce  para Olhos;Olhos;Máscara;Clinique;10.0;ml
